Area_Name,Year,Group_Name,Sub_Group_Name,Auto_Theft_Recovered
Bihar,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,205
Bihar,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,197
Bihar,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,243
Bihar,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,257
Bihar,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,197
Bihar,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,275
Bihar,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,260
Bihar,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,340
Bihar,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,338
Bihar,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,324
Bihar,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,43
Bihar,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,57
Bihar,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32
Bihar,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32
Bihar,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,21
Bihar,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,21
Bihar,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,22
Bihar,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,31
Bihar,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,41
Bihar,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,45
Bihar,2001,AT3-Buses,3. Buses,0
Bihar,2003,AT3-Buses,3. Buses,0
Bihar,2004,AT3-Buses,3. Buses,0
Bihar,2005,AT3-Buses,3. Buses,0
Bihar,2006,AT3-Buses,3. Buses,0
Bihar,2007,AT3-Buses,3. Buses,0
Bihar,2008,AT3-Buses,3. Buses,0
Bihar,2009,AT3-Buses,3. Buses,0
Bihar,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0
Bihar,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),8
Bihar,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),4
Bihar,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),7
Bihar,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Bihar,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),4
Bihar,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),4
Bihar,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),1
Bihar,2009,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),11
Bihar,2010,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),11
Bihar,2001,AT5-Other Motor vehicles,5. Other Motor vehicles,2
Bihar,2002,AT5-Other Motor vehicles,5. Other Motor vehicles,6
Bihar,2003,AT5-Other Motor vehicles,5. Other Motor vehicles,14
Bihar,2004,AT5-Other Motor vehicles,5. Other Motor vehicles,16
Bihar,2005,AT5-Other Motor vehicles,5. Other Motor vehicles,5
Bihar,2006,AT5-Other Motor vehicles,5. Other Motor vehicles,12
Bihar,2007,AT5-Other Motor vehicles,5. Other Motor vehicles,37
Bihar,2008,AT5-Other Motor vehicles,5. Other Motor vehicles,19
Bihar,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,24
Bihar,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,20
Bihar,2001,AT6-Total,6. Total (Sum of 1-5 Above),250
Bihar,2002,AT6-Total,6. Total (Sum of 1-5 Above),268
Bihar,2003,AT6-Total,6. Total (Sum of 1-5 Above),293
Bihar,2004,AT6-Total,6. Total (Sum of 1-5 Above),312
Bihar,2005,AT6-Total,6. Total (Sum of 1-5 Above),226
Bihar,2006,AT6-Total,6. Total (Sum of 1-5 Above),312
Bihar,2007,AT6-Total,6. Total (Sum of 1-5 Above),323
Bihar,2008,AT6-Total,6. Total (Sum of 1-5 Above),391
Bihar,2009,AT6-Total,6. Total (Sum of 1-5 Above),414
Bihar,2010,AT6-Total,6. Total (Sum of 1-5 Above),400
Chandigarh,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,107
Chandigarh,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,126
Chandigarh,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,131
Chandigarh,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,112
Chandigarh,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,129
Chandigarh,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,117
Chandigarh,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,119
Chandigarh,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,135
Chandigarh,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,199
Chandigarh,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,178
Chandigarh,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,90
Chandigarh,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,101
Chandigarh,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,149
Chandigarh,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,98
Chandigarh,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,64
Chandigarh,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,50
Chandigarh,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,96
Chandigarh,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,108
Chandigarh,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,75
Chandigarh,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,75
Chandigarh,2001,AT3-Buses,3. Buses,0
Chandigarh,2003,AT3-Buses,3. Buses,0
Chandigarh,2004,AT3-Buses,3. Buses,1
Chandigarh,2005,AT3-Buses,3. Buses,0
Chandigarh,2006,AT3-Buses,3. Buses,0
Chandigarh,2007,AT3-Buses,3. Buses,0
Chandigarh,2008,AT3-Buses,3. Buses,0
Chandigarh,2009,AT3-Buses,3. Buses,0
Chandigarh,2010,AT3-Buses,3. Buses,0
Chandigarh,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Chandigarh,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Chandigarh,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),4
Chandigarh,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Chandigarh,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Chandigarh,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),1
Chandigarh,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),5
Chandigarh,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),1
Chandigarh,2009,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0
Chandigarh,2010,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Chandigarh,2001,AT5-Other Motor vehicles,5. Other Motor vehicles,0
Chandigarh,2002,AT5-Other Motor vehicles,5. Other Motor vehicles,0
Chandigarh,2003,AT5-Other Motor vehicles,5. Other Motor vehicles,2
Chandigarh,2004,AT5-Other Motor vehicles,5. Other Motor vehicles,4
Chandigarh,2005,AT5-Other Motor vehicles,5. Other Motor vehicles,5
Chandigarh,2006,AT5-Other Motor vehicles,5. Other Motor vehicles,7
Chandigarh,2007,AT5-Other Motor vehicles,5. Other Motor vehicles,2
Chandigarh,2008,AT5-Other Motor vehicles,5. Other Motor vehicles,0
Chandigarh,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,1
Chandigarh,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,0
Chandigarh,2001,AT6-Total,6. Total (Sum of 1-5 Above),200
Chandigarh,2002,AT6-Total,6. Total (Sum of 1-5 Above),230
Chandigarh,2003,AT6-Total,6. Total (Sum of 1-5 Above),286
Chandigarh,2004,AT6-Total,6. Total (Sum of 1-5 Above),218
Chandigarh,2005,AT6-Total,6. Total (Sum of 1-5 Above),201
Chandigarh,2006,AT6-Total,6. Total (Sum of 1-5 Above),175
Chandigarh,2007,AT6-Total,6. Total (Sum of 1-5 Above),222
Chandigarh,2008,AT6-Total,6. Total (Sum of 1-5 Above),244
Chandigarh,2009,AT6-Total,6. Total (Sum of 1-5 Above),275
Chandigarh,2010,AT6-Total,6. Total (Sum of 1-5 Above),256
